Activity Category,Activity Type
Learning,Pupils learn where energy comes from and its impact on the environment
Learning,Pupils learn about renewable sources of energy
Learning,Pupils learn about ways of saving energy eg insulation
Learning,Pupils write an article about saving energy
Learning,Pupils take and upload photos of energy saving activities
Learning,Pupils use energy data during maths lessons
Learning,Pupils write a poem / story about saving energy
Learning,Pupils learn about appliances that use energy at home
Taking action around the school,Staff implement measures from their energy survey (all B&NES schools have a survey)
Taking action around the school,Pupils run a campaign to switch off all electrical equipment that is not needed overnight
Taking action around the school,Lights and applicances are labelled to show which should be left on / turned off
Taking action around the school,Each class appoints a pupil energy monitor
Taking action around the school,Thermometers are put in each classroom
Taking action around the school,Pupils make draught proofing equipment
Taking action around the school,Staff improve efficiency of school lighting
Taking action around the school,Staff improve insulation
Taking action around the school,Staff check boiler controls are optimal
Spreading the message,Pupils meet with kitchen staff to discuss their role in saving energy
Spreading the message,Pupils meet with the caretaker to discuss his / her role in saving energy
Spreading the message,Pupils meet with the headteacher to discuss introducing an energy policy
Spreading the message,Pupils meet with the office staff to discuss their role in saving energy
Spreading the message,Pupils meet with the school governors to discuss their role in saving energy
Spreading the message,Pupils communicate with lunchtime supervisors and cleaning staff abour saving energy
Spreading the message,Pupils run an assembly about saving energy
Spreading the message,Staff run an assembly about saving energy
Spreading the message,Pupils meet the Business Manager to discuss the school's energy usage / bills
Spreading the message,The school has a prominent display showing up to date information about saving energy
Spreading the message,Pupils design posters / signs to spread energy-saving messages
Spreading the message,Pupils make and post a video about saving energy
Spreading the message,Pupils compose an energy-saving song / rap
Spreading the message,Pupils share their ideas about saving energy with parents / the local community
Spreading the message,Pupils speak to IT Manager about school's policy on turning off IT
Spreading the message,"The school appoints a team of adults / pupils to lead on energy efficiency (e.g., Eco Committee, Energy Team)"
Whole school activities,"The school holds a themed day focusing on energy use (e.g., 'no energy day' , 'love your jumper day.')"
Whole school activities,The school introduces a policy on classroom temperature
Whole school activities,The school runs a light switch-off campaign at school eg Switch Off Fortnight
Whole school activities,The school introduces a system to reward classes for energy efficiency
Whole school activities,The school introduces a policy on switching off lights / IT
Whole school activities,The school introduces a policy on closing external doors when the heating is on
Whole school activities,Teachers discuss energy efficiency in a staff meeting
Whole school activities,Governors discuss energy efficiency in Governors' meeting
Investigating our energy usage,Pupils investigate how much energy their families are using at home
Investigating our energy usage,"Pupils investigate the school's thermostats (e.g., how many / location / temperature setting)"
Investigating our energy usage,Pupils investigate whether the the school's heating / hot water is switched off during the school holidays
Investigating our energy usage,Pupils carry out a spot check of classroom temperatures
Investigating our energy usage,Pupils carry out a spot check to see if lights / IT are left on at lunch time
Investigating our energy usage,Pupils carry out a spot check to see if lights / IT are left on after school
Investigating our energy usage,Pupils monitor whether adults / pupils are wearing long / short sleeves inside the school building during winter
Investigating our energy usage,Pupils monitor whether outside doors / windows are closed during cold weather
Investigating our energy usage,Pupils review heating timings with the caretaker
